Time     Altitude  Dwnrg Dst    Stage     Mass           TWR     Throt      AZ(cmd)     HOR AOA      Pitch   Vert AOA       Orbvel		   Incl       Ecctr
42.44       6.2657     1.51      1    1493611.5723    1.896       100    119.0137    0    64.7519    0       612.7363      29.5819    0.9954
42.98       6.4266     1.58      1    1488127.8076    1.8975       100    119.0704    0    64.4378    0       617.2562      29.6174    0.9953
43.52       6.5894     1.66      1    1482656.0059    1.8976       100    119.1249    0    64.123    0       621.7506      29.6533    0.9953
44.06       6.7539     1.74      1    1477250.7324    1.8986       100    119.1771    0    63.8077    0       626.2614      29.6899    0.9952
44.6       6.9201     1.83      1    1471872.6807    1.8998       100    119.227    0    63.4915    0       630.8218      29.7272    0.9952
45.14       7.088     1.91      1    1466506.958    1.8988       100    119.2751    0    63.1741    0       635.4281      29.7653    0.9951
45.68       7.2576     2      1    1461162.9639    1.898       100    119.3214    0    62.8558    0       640.042      29.8039    0.995
46.22       7.4289     2.09      1    1455857.666    1.8995       100    119.3664    0    62.5362    0       644.7173      29.8434    0.995
46.76       7.6019     2.18      1    1450552.8564    1.9025       100    119.4098    0    62.2156    0       649.467      29.8838    0.9949
47.3       7.7766     2.27      1    1445244.2627    1.9065       100    119.4516    0    61.8947    0       654.2591      29.9248    0.9948
47.84       7.9529     2.37      1    1439960.8154    1.9105       100    119.4918    0    61.5738    0       659.0675      29.9664    0.9948
48.38       8.131     2.47      1    1434705.3223    1.9154       100    119.5306    0    61.2529    0       663.938      30.0087    0.9947
48.92       8.3107     2.57      1    1429455.8105    1.9195       100    119.568    0    60.9319    0       668.8485      30.0516    0.9946
49.46       8.4921     2.67      1    1424228.7598    1.9211       100    119.6041    0    60.6108    0       673.7819      30.0951    0.9946
50       8.6751     2.77      1    1419032.1045    1.9235       100    119.6389    0    60.29    0       678.746      30.139    0.9945
50.54       8.8598     2.88      1    1413864.2578    1.9237       100    119.6725    0    59.9697    0       683.6908      30.1833    0.9944
51.08       9.046     2.99      1    1408759.7656    1.9195       100    119.7048    0    59.6485    0       688.6462      30.2279    0.9943
51.62       9.2338     3.1      1    1403681.5186    1.9168       100    119.7359    0    59.3264    0       693.6929      30.2734    0.9943
52.16       9.4232     3.22      1    1398593.1396    1.9162       100    119.7662    0    59.004    0       698.7814      30.3195    0.9942
52.7       9.6141     3.33      1    1393529.0527    1.9167       100    119.7953    0    58.681    0       703.9157      30.3661    0.9941
53.24       9.8067     3.45      1    1388475.0977    1.9225       100    119.8235    0    58.3581    0       709.1062      30.4133    0.994
53.78       10.0008     3.57      1    1383434.2041    1.9267       100    119.8509    0    58.0353    0       714.3357      30.4611    0.9939
54.32       10.1965     3.7      1    1378406.4941    1.9309       100    119.8774    0    57.7123    0       719.6524      30.5096    0.9938
54.86       10.3938     3.82      1    1373366.8213    1.9381       100    119.9031    0    57.3899    0       725.0585      30.5588    0.9937
55.4       10.5927     3.95      1    1368315.1855    1.9463       100    119.928    0    57.0681    0       730.5193      30.6085    0.9937
55.94       10.7931     4.09      1    1363276.4893    1.9551       100    119.9522    0    56.7471    0       736.041      30.6588    0.9936
56.48       10.9953     4.22      1    1358233.2764    1.9657       100    119.9756    0    56.4271    0       741.6718      30.7099    0.9935
57.02       11.199     4.36      1    1353168.457    1.9766       100    119.9983    0    56.1082    0       747.387      30.7616    0.9934
57.56       11.4044     4.5      1    1348090.9424    1.9888       100    120.0204    0    55.7904    0       753.2393      30.8142    0.9933
58.1       11.6116     4.64      1    1342969.7266    2.0066       100    120.0419    0    55.4744    0       759.1972      30.8675    0.9932
58.64       11.8204     4.79      1    1337837.8906    2.0223       100    120.0629    0    55.1609    0       765.1992      30.9211    0.993
59.18       12.031     4.93      1    1332713.0127    2.038       100    120.0831    0    54.8495    0       771.3028      30.9753    0.9929
59.72       12.2434     5.09      1    1327572.0215    2.0519       100    120.1027    0    54.5402    0       777.4627      31.0298    0.9928
60.26       12.4575     5.24      1    1322436.7676    2.0622       100    120.1218    0    54.2327    0       783.7227      31.0849    0.9927
60.8       12.6734     5.4      1    1317282.7148    2.0745       100    120.1403    0    53.9276    0       790.0665      31.1404    0.9926
61.34       12.8911     5.56      1    1312122.0703    2.0868       100    120.1583    0    53.6249    0       796.5002      31.1964    0.9925
61.88       13.1107     5.72      1    1306948.6084    2.1004       100    120.1758    0    53.3241    0       803.0407      31.253    0.9924
62.42       13.332     5.89      1    1301755.0049    2.1154       100    120.1928    0    53.0253    0       809.6779      31.31    0.9922
62.96       13.5553     6.06      1    1296549.8047    2.1297       100    120.2093    0    52.7288    0       816.3794      31.3672    0.9921
63.5       13.7804     6.23      1    1291345.5811    2.1441       100    120.2253    0    52.4351    0       823.1979      31.425    0.992
64.04       14.0075     6.41      1    1286113.5254    2.1597       100    120.241    0    52.1441    0       830.1063      31.4831    0.9918
64.58       14.2365     6.59      1    1280878.2959    2.1733       100    120.2561    0    51.8555    0       837.0844      31.5414    0.9917
65.12       14.4674     6.78      1    1275640.3809    2.1872       100    120.2709    0    51.5693    0       844.1523      31.6    0.9916
65.66       14.7003     6.96      1    1270392.5781    2.2013       100    120.2852    0    51.2855    0       851.3221      31.659    0.9914
66.2       14.9351     7.15      1    1265126.709    2.2153       100    120.2992    0    51.004    0       858.5877      31.7182    0.9913
66.74       15.172     7.35      1    1259854.9805    2.2288       100    120.3128    0    50.725    0       865.9005      31.7775    0.9911
67.28       15.4109     7.54      1    1254591.0645    2.2423       100    120.3261    0    50.4484    0       873.3217      31.8371    0.991
