alt,ve,vi
48.01049691,1210.138211,1564.357757
48.20510283,1211.134749,1565.611825
48.39947749,1212.136107,1566.869734
48.59362128,1213.143253,1568.132264
48.78753513,1214.155007,1569.398174
48.98122,1215.171078,1570.667168
49.17467655,1216.192522,1571.940322
49.3679057,1217.219158,1573.217524
49.56090817,1218.250315,1574.498125
49.75368469,1219.285149,1575.781314
49.94623574,1220.324817,1577.068245
50.1385619,1221.368872,1578.358552
50.33066374,1222.417469,1579.652317
50.52254178,1223.469633,1580.948677
50.71419685,1224.528116,1582.250128
50.90562937,1225.590423,1583.554449
51.09684004,1226.656651,1584.861681
51.28782923,1227.727015,1586.171999
51.47859754,1228.8019,1587.485812
51.66914566,1229.881331,1588.803142
51.85947404,1230.964602,1590.123362
52.04958314,1232.053123,1591.447802
52.23947369,1233.145298,1592.774945
52.42914594,1234.242336,1594.105877
52.61860076,1235.344689,1595.441146
52.80783885,1236.45093,1596.779293
52.99686033,1237.560397,1598.119816
53.18566557,1238.672409,1599.46191
53.37425492,1239.788787,1600.807357
53.56262907,1240.910441,1602.157144
53.75078865,1242.03585,1603.509713
53.93873391,1243.165536,1604.865499
54.12648716,1244.270334,1606.171459
54.31410221,1245.384466,1607.488606
54.50153564,1246.53099,1608.857282
54.68875348,1247.694341,1610.252699
54.87574018,1248.868242,1611.663327
55.06248833,1250.049202,1613.083774
55.2489929,1251.23705,1614.513237
55.43524976,1252.432356,1615.952035
55.62125608,1253.635042,1617.399485
55.80700865,1254.844333,1618.855764
55.99250146,1256.061766,1620.322683
56.17772396,1257.288596,1621.805957
56.36265114,1258.523939,1623.305748
56.54726975,1259.766163,1624.812642
56.73158531,1261.01577,1626.323975
56.91560605,1262.270132,1627.836132
57.09934087,1263.530629,1629.351646
57.28279288,1264.795226,1630.86996
57.46596419,1266.065101,1632.391268
57.64885818,1267.33952,1633.916528
57.83147206,1268.619705,1635.447217
58.01380464,1269.904323,1636.982207
58.19585498,1271.194074,1638.520516
58.37762605,1272.488415,1640.062862
58.55911507,1273.787535,1641.609349
58.74032199,1275.09322,1643.161804
58.92124617,1276.40377,1644.717896
59.10188885,1277.720154,1646.279002
59.28224974,1279.041374,1647.843564
59.46233034,1280.368182,1649.412969
59.64212977,1281.701529,1650.98767
59.8216494,1283.040127,1652.566915
60.00088806,1284.384305,1654.150553
60.17984689,1285.732073,1655.73706
60.35852372,1287.084716,1657.328125
60.53691852,1288.441159,1658.921148
60.71503429,1289.803722,1660.519198
60.89287076,1291.170769,1662.120406
61.07042883,1292.541831,1663.725052
61.24770787,1293.918161,1665.333365
61.42470965,1295.299407,1666.946082
61.60143191,1296.686448,1668.563867
61.77787489,1298.07906,1670.186651
61.95403722,1299.47693,1671.813583
62.12992052,1300.880305,1673.445044
62.30552433,1302.289023,1675.08062
62.48085042,1303.704261,1676.721909
62.65589773,1305.123278,1678.365815
62.83066747,1306.54626,1680.012997
63.00515831,1307.974667,1681.664444
63.1793715,1309.407199,1683.319341
63.35330481,1310.8454,1684.979558
63.52695844,1312.287936,1686.642326
63.70033521,1313.734709,1688.308368
63.87343496,1315.186269,1689.977715
64.04625937,1316.643915,1691.652633
64.21880677,1318.106144,1693.331168
64.39107747,1319.573409,1695.014242
64.56306956,1321.045256,1696.70104
64.73478421,1322.522042,1698.391954
64.90622033,1324.003336,1700.086353
65.07737921,1325.489465,1701.784728
65.24826026,1326.979813,1703.486127
65.41886489,1328.474824,1705.19149
65.58919225,1329.975454,1706.901287
65.75924342,1331.481125,1708.615488
65.92901644,1332.99373,1710.336273
66.09851135,1334.510592,1712.05963
66.2677311,1336.032761,1713.787379
66.43667528,1337.559124,1715.518116
66.60534476,1339.089879,1717.252697
66.77373859,1340.624783,1718.990047
66.94185892,1342.164808,1720.732046
67.10970279,1343.709805,1722.47833
67.27727083,1345.260801,1724.230049
67.44456167,1346.817987,1725.986993
67.61157664,1348.378673,1727.746568
67.77831529,1349.945087,1729.510713
67.94477912,1351.514859,1731.277544
68.1109671,1353.089598,1733.048204
68.2768804,1354.666875,1734.820848
68.44251752,1356.247578,1736.595911
68.60787945,1357.83474,1738.376746
68.77296416,1359.427372,1740.162743
68.93777178,1361.024514,1741.951694
69.10230499,1362.626968,1743.745068
69.26656412,1364.233816,1745.541309
69.43055139,1365.846333,1747.34274
69.59426451,1367.464466,1749.149008
69.75770401,1369.086533,1750.958804
69.92086745,1370.715176,1752.774384
70.08375619,1372.348892,1754.594284
70.24636933,1373.986406,1756.41696
70.4087083,1375.627797,1758.242747
70.57077246,1377.273781,1760.072007
70.73256327,1378.923388,1761.904283
70.89407959,1380.578067,1763.740594
71.0553227,1382.238144,1765.581729
71.21628992,1383.903409,1767.427787
71.37698131,1385.573543,1769.277252
71.53739948,1387.246879,1771.129101
71.69754427,1388.924815,1772.984368
71.85741651,1390.605637,1774.842047
72.01701544,1392.291177,1776.703159
72.17634312,1393.982931,1778.570028
72.33539695,1395.679619,1780.44126
72.49417686,1397.381429,1782.317101
72.65268169,1399.088072,1784.19682
72.81091305,1400.799392,1786.080451
72.96887059,1402.516345,1787.968556
73.12655623,1404.239194,1789.86191
73.28396885,1405.965179,1791.757541
73.44110912,1407.696254,1793.657715
73.59797573,1409.430965,1795.560608
73.75457002,1411.171201,1797.468393
73.91088967,1412.91646,1799.380891
74.06693475,1414.665607,1801.295897
74.22270798,1416.418174,1803.213536
